name,value,timeunit,lastValue,rank,dist,diff
xujian,406042.92588492,5.0,406042.92588492,22,0.85,3
arkimedes,405190.22436284,5.0,402690.84929815,23,0.85,3
dafty,400777.79291236,5.0,370616.79464519,24,0.85,3
chiiky_2,399997.44418149,5.0,0,25,0.85,3
gr33ndrag0n,388395.33814923,5.0,375452.9,26,0.85,3
atreides_wannabe,377977.01806397,5.0,377976.51806397,27,0.85,3
emotive_ark,362736.79018553,5.0,362736.79018553,28,0.85,3
arkpool,301149.62938012,5.0,259101.04136023,29,0.85,3
doom,300279.95897843,5.0,300254.45897843,30,0.85,3
chiiky,300032.92393441,5.0,402336.08175717,31,0.85,3
pitbull,269017.00367684,5.0,257611.9936586,32,0.85,3
wes,261273.51847453,5.0,116634.88347453,33,0.85,3
arky,245413.97458159,5.0,177187.84958159,34,0.85,3
bioly,242864.92551862,5.0,228383.77551862,35,0.85,3
bluedude,239491.05099786,5.0,228852.28395982,36,0.85,3
eli,206037.4,5.0,206034.3,37,0.85,3
arc,202597.92907103,5.0,111057.72907103,38,0.85,3
bcboilermaker,201181.87626382,5.0,201180.27626382,39,0.85,3
arktipbot,200098.0,5.0,99999.0,40,0.85,3
pool.arkno.de,186607.72780772,5.0,211510.36157358,41,0.85,3
vipertkd,161984.96704498,5.0,161990.86704498,42,0.85,3
coolbeans,161453.10474355,5.0,117451.50474355,43,0.85,3
hagie,158678.21495493,5.0,158678.21495493,44,0.85,3
triumvirate,150035.5,5.0,150028.9,45,0.85,3
hardware,150003.4,5.0,0,46,0.85,3
corsaro,141436.9593362,5.0,109630.0512835,47,0.85,3
papa,126833.34662013,5.0,0,48,0.85,3
arkfuturesmartnode,125027.0,5.0,125026.7,49,0.85,3
geops,122595.31610133,5.0,122570.31610133,50,0.85,3
templar,115418.54414966,5.0,115417.14414966,51,0.85,3
seatrips,1562473.61981136,6.0,1472024.49858886,1,0.82,4
cannabanana,855233.80985201,6.0,826060.20985201,2,0.82,4
arknet,770372.2587109,6.0,0,3,0.82,4
vega,720896.10243351,6.0,720893.70243351,4,0.82,4
bangomatic,643500.59808765,6.0,643498.69808765,5,0.82,4
dafty,614828.87383611,6.0,400777.79291236,6,0.82,4
doweig,612177.1,6.0,612151.7,7,0.82,4
someonesomeone,604033.81374583,6.0,604033.81374583,8,0.82,4
samuray,569266.16078799,6.0,569259.66078799,9,0.82,4
jamiec79,555335.66791024,6.0,546575.70690955,10,0.82,4
thricepi,512831.4284649,6.0,512828.2284649,11,0.82,4
digitron,512082.7714906,6.0,512080.2714906,12,0.82,4
ares,507000.5,6.0,507000.5,13,0.82,4
diplo,505607.34771309,6.0,505607.34771309,14,0.82,4
doom,458549.12467557,6.0,300279.95897843,15,0.82,4
tintumon,452029.2,6.0,452023.6,16,0.82,4
ghostfaceuk,449410.17945379,6.0,445835.48066473,17,0.82,4
rasputin,447921.01401453,6.0,447920.31401453,18,0.82,4
mody1996,441968.16917337,6.0,441911.36917337,19,0.82,4
toad,441035.34164117,6.0,441034.94164117,20,0.82,4
emotive_ark,424445.86273625,6.0,362736.79018553,21,0.82,4
chiiky,422680.74003574,6.0,300032.92393441,22,0.82,4
corsaro,415535.24908386,6.0,141436.9593362,23,0.82,4
soliury,413550.06908662,6.0,413518.86908662,24,0.82,4
xujian,406042.92588492,6.0,406042.92588492,25,0.82,4
arkimedes,405191.62436284,6.0,405190.22436284,26,0.82,4
chiiky_2,399997.44418149,6.0,399997.44418149,27,0.82,4
gr33ndrag0n,388397.23814923,6.0,388395.33814923,28,0.82,4
atreides_wannabe,377981.61806397,6.0,377977.01806397,29,0.82,4
wes,345213.20095614,6.0,261273.51847453,30,0.82,4
arkpool,317567.7837973,6.0,301149.62938012,31,0.82,4
ondin,300079.84067939,6.0,46967.94067939,32,0.82,4
pitbull,283324.40367684,6.0,269017.00367684,33,0.82,4
sidzero,279529.85187603,6.0,539134.69757317,34,0.82,4
nomoredollar2,258735.05969408,6.0,0,35,0.82,4
bioly,251648.7086201,6.0,242864.92551862,36,0.82,4
arc,246624.32907103,6.0,202597.92907103,37,0.82,4
arky,245424.41307313,6.0,245413.97458159,38,0.82,4
bluedude,239493.25099786,6.0,239491.05099786,39,0.82,4
pool.arkno.de,236249.61937366,6.0,186607.72780772,40,0.82,4
bikerleszno,231503.04379789,6.0,0,41,0.82,4
triumvirate,225036.0,6.0,150035.5,42,0.82,4
hardware,220003.9,6.0,150003.4,43,0.82,4
eli,206065.6,6.0,206037.4,44,0.82,4
bcboilermaker,201183.67626382,6.0,201181.87626382,45,0.82,4
arktipbot,200098.0,6.0,200098.0,46,0.82,4
coolbeans,170281.60265916,6.0,161453.10474355,47,0.82,4
vipertkd,161987.56704498,6.0,161984.96704498,48,0.82,4
hagie,158678.21495493,6.0,158678.21495493,49,0.82,4
heliohash,156284.92603347,6.0,0,50,0.82,4
arkfuturesmartnode,130053.4,6.0,125027.0,51,0.82,4
seatrips,1676322.46384333,7.0,1562473.61981136,1,0.79,5
arknet,770734.94267431,7.0,770372.2587109,2,0.79,5
cannabanana,766491.40985201,7.0,855233.80985201,3,0.79,5
vega,720900.60243351,7.0,720896.10243351,4,0.79,5
bangomatic,643529.89808765,7.0,643500.59808765,5,0.79,5
doweig,612184.4,7.0,612177.1,6,0.79,5
arc,609894.30794078,7.0,246624.32907103,7,0.79,5
samuray,569274.56078799,7.0,569266.16078799,8,0.79,5
kiashaan,555747.25930569,7.0,38896.90715167,9,0.79,5
ghostfaceuk,548582.90500339,7.0,449410.17945379,10,0.79,5
wes,546832.71874355,7.0,345213.20095614,11,0.79,5
emotive_ark,540318.70736967,7.0,424445.86273625,12,0.79,5
dafty,539310.45522139,7.0,614828.87383611,13,0.79,5
thricepi,522858.8284649,7.0,512831.4284649,14,0.79,5
digitron,512085.0714906,7.0,512082.7714906,15,0.79,5
diplo,505607.34771309,7.0,505607.34771309,16,0.79,5
jamiec79,505601.07591341,7.0,555335.66791024,17,0.79,5
axi,492294.87851755,7.0,0,18,0.79,5
mody1996,462044.31221618,7.0,441968.16917337,19,0.79,5
tibonos,452314.2,7.0,0,20,0.79,5
tintumon,452033.4,7.0,452029.2,21,0.79,5
rasputin,447923.51401453,7.0,447921.01401453,22,0.79,5
toad,442997.16959419,7.0,441035.34164117,23,0.79,5
arky,424430.69841078,7.0,245424.41307313,24,0.79,5
chiiky,422685.44003574,7.0,422680.74003574,25,0.79,5
soliury,413555.46908662,7.0,413550.06908662,26,0.79,5
arkimedes,412768.35183544,7.0,405191.62436284,27,0.79,5
bikerleszno,408335.49041802,7.0,231503.04379789,28,0.79,5
eli,406094.9,7.0,206065.6,29,0.79,5
xujian,406042.92588492,7.0,406042.92588492,30,0.79,5
chiiky_2,399997.44418149,7.0,399997.44418149,31,0.79,5
gr33ndrag0n,388401.03814923,7.0,388397.23814923,32,0.79,5
bluedude,387716.58145339,7.0,239493.25099786,33,0.79,5
corsaro,385542.34908386,7.0,415535.24908386,34,0.79,5
atreides_wannabe,377994.71806397,7.0,377981.61806397,35,0.79,5
bioly,374663.6086201,7.0,251648.7086201,36,0.79,5
ondin,354854.05093173,7.0,300079.84067939,37,0.79,5
doom,354332.02467557,7.0,458549.12467557,38,0.79,5
heliohash,353760.98975945,7.0,156284.92603347,39,0.79,5
ares,351794.52084365,7.0,507000.5,40,0.79,5
anamix,351427.0113498,7.0,0,41,0.79,5
arktipbot,350097.0,7.0,200098.0,42,0.79,5
pitbull,347831.10367684,7.0,283324.40367684,43,0.79,5
doc,347205.47737528,7.0,0,44,0.79,5
bcboilermaker,331192.17626382,7.0,201183.67626382,45,0.79,5
sidzero,330728.09873234,7.0,279529.85187603,46,0.79,5
coolbeans,317685.30265916,7.0,170281.60265916,47,0.79,5
triumvirate,305041.1,7.0,225036.0,48,0.79,5
pool.arkno.de,303125.71937366,7.0,236249.61937366,49,0.79,5
someonesomeone,302508.61374583,7.0,604033.81374583,50,0.79,5
krnekdo,301499.0,7.0,0,51,0.79,5
seatrips,1115783.81612097,8.0,1676322.46384333,1,0.79,5
soliury,818963.46908662,8.0,413555.46908662,2,0.79,5
cannabanana,763477.60985201,8.0,766491.40985201,3,0.79,5
jamiec79,731531.93651639,8.0,505601.07591341,4,0.79,5
vega,721316.60243351,8.0,720900.60243351,5,0.79,5
wes,705040.65434298,8.0,546832.71874355,6,0.79,5
arkpool,677047.01831914,8.0,317567.7837973,7,0.79,5
forginator,676924.2,8.0,0,8,0.79,5
chiiky_2,673480.06028282,8.0,399997.44418149,9,0.79,5
bangomatic,640245.42832127,8.0,643529.89808765,10,0.79,5
corsaro,635720.8593362,8.0,385542.34908386,11,0.79,5
doom,626218.74679736,8.0,354332.02467557,12,0.79,5
kiashaan,626218.61372894,8.0,555747.25930569,13,0.79,5
doc,626205.47737528,8.0,347205.47737528,14,0.79,5
xujian,626040.82588492,8.0,406042.92588492,15,0.79,5
arc,618496.0180186,8.0,609894.30794078,16,0.79,5
doweig,612647.9,8.0,612184.4,17,0.79,5
ondin,600527.64067939,8.0,354854.05093173,18,0.79,5
dafty,578773.37733312,8.0,539310.45522139,19,0.79,5
toad,575610.87846529,8.0,442997.16959419,20,0.79,5
samuray,569695.06078799,8.0,569274.56078799,21,0.79,5
arky,565528.1045147,8.0,424430.69841078,22,0.79,5
emotive_ark,547270.99426503,8.0,540318.70736967,23,0.79,5
axi,543290.17851755,8.0,492294.87851755,24,0.79,5
atreides_wannabe,541123.43312113,8.0,377994.71806397,25,0.79,5
mody1996,530480.61221618,8.0,462044.31221618,26,0.79,5
arkimedes,530184.01871022,8.0,412768.35183544,27,0.79,5
thricepi,523270.2284649,8.0,522858.8284649,28,0.79,5
heliohash,523189.58564868,8.0,353760.98975945,29,0.79,5
arknet,523181.76715322,8.0,770734.94267431,30,0.79,5
ghostfaceuk,522135.05106591,8.0,548582.90500339,31,0.79,5
anamix,515930.51139651,8.0,351427.0113498,32,0.79,5
kolap,514109.40398156,8.0,0,33,0.79,5
digitron,512507.9714906,8.0,512085.0714906,34,0.79,5
diplo,505607.34771309,8.0,505607.34771309,35,0.79,5
tibonos,502759.50000002,8.0,452314.2,36,0.79,5
realnoah,498777.69597455,8.0,0,37,0.79,5
ares,490850.71226292,8.0,351794.52084365,38,0.79,5
gr33ndrag0n,488797.23814923,8.0,388401.03814923,39,0.79,5
bikerleszno,481735.69041802,8.0,408335.49041802,40,0.79,5
sidzero,481108.59873234,8.0,330728.09873234,41,0.79,5
bioly,477841.36412051,8.0,374663.6086201,42,0.79,5
someonesomeone,462508.61374583,8.0,302508.61374583,43,0.79,5
coolbeans,462142.19620183,8.0,317685.30265916,44,0.79,5
arktipbot,455099.0,8.0,350097.0,45,0.79,5
bluedude,454711.61058282,8.0,387716.58145339,46,0.79,5
rasputin,454337.71401453,8.0,447923.51401453,47,0.79,5
tintumon,452454.3,8.0,452033.4,48,0.79,5
ararat,449998.0,8.0,0,49,0.79,5
jiraffes,449953.8,8.0,0,50,0.79,5
triumvirate,412420.17139505,8.0,305041.1,51,0.79,5
seatrips,1321425.50288047,9.0,1115783.81612097,1,0.85,1
arky,899394.42076851,9.0,565528.1045147,2,0.85,1
tibonos,853192.00000002,9.0,502759.50000002,3,0.85,1
soliury,819392.16908662,9.0,818963.46908662,4,0.85,1
cannabanana,783734.5351793,9.0,763477.60985201,5,0.85,1
heliohash,762491.71069545,9.0,523189.58564868,6,0.85,1
jamiec79,732434.75116013,9.0,731531.93651639,7,0.85,1
ghostfaceuk,729587.75229823,9.0,522135.05106591,8,0.85,1
vega,721741.90243351,9.0,721316.60243351,9,0.85,1
bioly,702017.0623927,9.0,477841.36412051,10,0.85,1
chiiky_2,673695.06028282,9.0,673480.06028282,11,0.85,1
wes,658638.5879703,9.0,705040.65434298,12,0.85,1
corsaro,636150.9593362,9.0,635720.8593362,13,0.85,1
bangomatic,635719.72832127,9.0,640245.42832127,14,0.85,1
forginator,626924.1,9.0,676924.2,15,0.85,1
doom,626646.54679736,9.0,626218.74679736,16,0.85,1
doc,626205.47737528,9.0,626205.47737528,17,0.85,1
xujian,626040.82588492,9.0,626040.82588492,18,0.85,1
arc,618921.4180186,9.0,618496.0180186,19,0.85,1
doweig,613072.6,9.0,612647.9,20,0.85,1
arkpool,606033.62917723,9.0,677047.01831914,21,0.85,1
ondin,600963.24067939,9.0,600527.64067939,22,0.85,1
jiraffes,599953.8,9.0,449953.8,23,0.85,1
dafty,591689.98263725,9.0,578773.37733312,24,0.85,1
axi,585252.03245503,9.0,543290.17851755,25,0.85,1
toad,576041.97846529,9.0,575610.87846529,26,0.85,1
arkimedes,573322.56142022,9.0,530184.01871022,27,0.85,1
samuray,570138.86078799,9.0,569695.06078799,28,0.85,1
gr33ndrag0n,569229.83814923,9.0,488797.23814923,29,0.85,1
realnoah,562195.85096421,9.0,498777.69597455,30,0.85,1
chiiky,561160.75950692,9.0,422685.44003574,31,0.85,1
bcboilermaker,556718.0090281,9.0,331192.17626382,32,0.85,1
ararat,549997.9,9.0,449998.0,33,0.85,1
emotive_ark,547699.39426503,9.0,547270.99426503,34,0.85,1
kiashaan,545368.61372894,9.0,626218.61372894,35,0.85,1
atreides_wannabe,541556.83312113,9.0,541123.43312113,36,0.85,1
coolbeans,541139.70834794,9.0,462142.19620183,37,0.85,1
sidzero,533648.29873234,9.0,481108.59873234,38,0.85,1
mody1996,530917.11221618,9.0,530480.61221618,39,0.85,1
rasputin,529765.81401453,9.0,454337.71401453,40,0.85,1
someonesomeone,528508.61374583,9.0,462508.61374583,41,0.85,1
tintumon,527868.6,9.0,452454.3,42,0.85,1
digitron,523735.0714906,9.0,512507.9714906,43,0.85,1
thricepi,523695.1284649,9.0,523270.2284649,44,0.85,1
arknet,523181.76715322,9.0,523181.76715322,45,0.85,1
anamix,516787.61139651,9.0,515930.51139651,46,0.85,1
ares,516277.21226292,9.0,490850.71226292,47,0.85,1
arktipbot,505972.5,9.0,455099.0,48,0.85,1
diplo,505607.34771309,9.0,505607.34771309,49,0.85,1
natalie,491072.18605804,9.0,0,50,0.85,1
pitbull,472335.41313988,9.0,347831.10367684,51,0.85,1
seatrips,1283676.02730637,10.0,1321425.50288047,1,0.92,1
wes,1017410.65411096,10.0,658638.5879703,2,0.92,1
tibonos,929955.89864938,10.0,853192.00000002,3,0.92,1
arkpool,841864.88291839,10.0,606033.62917723,4,0.92,1
soliury,819822.06908662,10.0,819392.16908662,5,0.92,1
cannabanana,779457.6351793,10.0,783734.5351793,6,0.92,1
heliohash,760726.6396976,10.0,762491.71069545,7,0.92,1
bioly,728636.61388971,10.0,702017.0623927,8,0.92,1
vega,722172.40243351,10.0,721741.90243351,9,0.92,1
doom,700413.24787392,10.0,626646.54679736,10,0.92,1
chiiky_2,674162.06028282,10.0,673695.06028282,11,0.92,1
chiiky,661798.11508371,10.0,561160.75950692,12,0.92,1
