name,value,timeunit,lastValue,rank,dist,diff
pitbull,0,4,0,16,0,0
cannabanana,0,4,0,17,0,0
elegato,0,4,0,18,0,0
seatrips,0,4,0,19,0,0
sonobit,0,4,0,20,0,0
tintumon,0,4,0,21,0,0
bangomatic,0,4,0,22,0,0
ondin,0,4,0,23,0,0
dafricash,0,4,0,24,0,0
gr33ndrag0n,0,4,0,25,0,0
hagie,0,4,0,26,0,0
arky,0,4,0,27,0,0
coolbeans,0,4,0,28,0,0
mody1996,0,4,0,29,0,0
wes,0,4,0,30,0,0
xujian,0,4,0,31,0,0
thricepi,0,4,0,32,0,0
pool.arkno.de,0,4,0,33,0,0
eli,0,4,0,34,0,0
geops,0,4,0,35,0,0
arkfuturesmartnode,0,4,0,36,0,0
devasive,0,4,0,37,0,0
digitron,0,4,0,38,0,0
vega,0,4,0,39,0,0
soliury,0,4,0,40,0,0
arc,0,4,0,41,0,0
arktipbot,0,4,0,42,0,0
slasheks,0,4,0,43,0,0
nuevax,0,4,0,44,0,0
arkpool,0,4,0,45,0,0
rasputin,0,4,0,46,0,0
arkeology,0,4,0,47,0,0
4miners.net,0,4,0,48,0,0
triumvirate,0,4,0,49,0,0
sockpuppet,0,4,0,50,0,0
isabella,0,5,0,0,0,0
pool.arkno.de,0,5,0,1,0,0
kiashaan,0,5,0,2,0,0
triumvirate,0,5,0,3,0,0
arkeology,0,5,0,4,0,0
litcoincollector,0,5,0,5,0,0
geops,0,5,0,6,0,0
tintumon,0,5,0,7,0,0
4miners.net,0,5,0,8,0,0
sonobit,0,5,0,9,0,0
samuray,0,5,0,10,0,0
devasive,0,5,0,11,0,0
someonesomeone,0,5,0,12,0,0
sockpuppet,0,5,0,13,0,0
bcboilermaker,0,5,0,14,0,0
bluedude,0,5,0,15,0,0
elegato,0,5,0,16,0,0
xujian,0,5,0,17,0,0
doweig,0,5,0,18,0,0
chiiky_2,0,5,0,19,0,0
noah,0,5,0,20,0,0
dafricash,0,5,0,21,0,0
emotive_ark,0,5,0,22,0,0
arky,0,5,0,23,0,0
diplo,0,5,0,24,0,0
digitron,0,5,0,25,0,0
thricepi,0,5,0,26,0,0
pitbull,0,5,0,27,0,0
sidzero,0,5,0,28,0,0
slasheks,0,5,0,29,0,0
chiiky,0,5,0,30,0,0
nothinghere,0,5,0,31,0,0
ondin,0,5,0,32,0,0
hagie,0,5,0,33,0,0
ares,0,5,0,34,0,0
arc,0,5,0,35,0,0
dandelion,0,5,0,36,0,0
doom,0,5,0,37,0,0
seatrips,0,5,0,38,0,0
wes,0,5,0,39,0,0
goldeneye,0,5,0,40,0,0
coolbeans,0,5,0,41,0,0
mainarknet,0,5,0,42,0,0
dafty,0,5,0,43,0,0
soliury,0,5,0,44,0,0
arkpool,0,5,0,45,0,0
toad,0,5,0,46,0,0
corsaro,0,5,0,47,0,0
rasputin,0,5,0,48,0,0
nuevax,0,5,0,49,0,0
bioly,0,5,0,50,0,0
triumvirate,0,6,0,0,0,0
wes,0,6,0,1,0,0
arktipbot,0,6,0,2,0,0
ondin,0,6,0,3,0,0
chiiky_2,0,6,0,4,0,0
geops,0,6,0,5,0,0
mody1996,0,6,0,6,0,0
arkimedes,0,6,0,7,0,0
vipertkd,0,6,0,8,0,0
litcoincollector,0,6,0,9,0,0
bangomatic,0,6,0,10,0,0
4miners.net,0,6,0,11,0,0
noah,0,6,0,12,0,0
sockpuppet,0,6,0,13,0,0
thricepi,0,6,0,14,0,0
nothinghere,0,6,0,15,0,0
eli,0,6,0,16,0,0
arky,0,6,0,17,0,0
goldeneye,0,6,0,18,0,0
